Province,Occupation,Year,_1st_quatile,_2nd_quatile,_3rd_quatile,_4th_quatile,Total
Alberta,0631 - Restaurant and food service managers,2021,15,5,10,Nan,35
Alberta,0632 - Accommodation service managers,2021,Nan,Nan,20,Nan,25
Alberta,6311 - Food service supervisors,2021,125,80,75,65,325
Alberta,6312 - Executive housekeepers,2021,Nan,Nan,0,Nan,Nan
Alberta,"6313 - Accommodation, travel, tourism and related services supervisors",2021,5,Nan,Nan,10,20
Alberta,6314 - Customer and information services supervisors,2021,0,0,0,Nan,Nan
Alberta,6315 - Cleaning supervisors,2021,5,15,15,15,45
Alberta,6321 - Chefs,2021,Nan,10,5,5,20
Alberta,6322 - Cooks,2021,90,65,45,45,235
Alberta,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2021,Nan,Nan,5,Nan,15
Alberta,6332 - Bakers,2021,10,5,Nan,Nan,20
Alberta,6512 - Bartenders,2021,Nan,0,0,0,Nan
Alberta,6513 - Food and beverage servers,2021,Nan,Nan,Nan,0,5
Alberta,6522 - Pursers and flight attendants,2021,Nan,Nan,Nan,Nan,Nan
Alberta,6525 - Hotel front desk clerks,2021,5,5,0,Nan,10
Alberta,6532 - Outdoor sport and recreational guides,2021,0,0,Nan,0,Nan
Alberta,0631 - Restaurant and food service managers,2022,5,10,15,20,55
Alberta,0632 - Accommodation service managers,2022,0,Nan,20,Nan,25
Alberta,6311 - Food service supervisors,2022,75,90,85,70,310
Alberta,6312 - Executive housekeepers,2022,Nan,Nan,Nan,Nan,5
Alberta,"6313 - Accommodation, travel, tourism and related services supervisors",2022,5,Nan,10,Nan,20
Alberta,6314 - Customer and information services supervisors,2022,0,Nan,0,Nan,Nan
Alberta,6315 - Cleaning supervisors,2022,5,15,25,10,55
Alberta,6321 - Chefs,2022,Nan,10,5,10,25
Alberta,6322 - Cooks,2022,55,50,65,50,215
Alberta,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2022,5,Nan,Nan,0,10
Alberta,6332 - Bakers,2022,Nan,Nan,5,Nan,15
Alberta,6512 - Bartenders,2022,0,0,0,0,0
Alberta,6513 - Food and beverage servers,2022,Nan,Nan,0,Nan,5
Alberta,6522 - Pursers and flight attendants,2022,Nan,Nan,Nan,Nan,Nan
Alberta,6525 - Hotel front desk clerks,2022,Nan,Nan,0,0,5
Alberta,6532 - Outdoor sport and recreational guides,2022,Nan,Nan,Nan,Nan,5
Alberta,0631 - Restaurant and food service managers,2023,20,15,15,10,60
Alberta,0632 - Accommodation service managers,2023,Nan,5,15,Nan,25
Alberta,6311 - Food service supervisors,2023,75,80,70,90,300
Alberta,6312 - Executive housekeepers,2023,0,Nan,Nan,Nan,5
Alberta,"6313 - Accommodation, travel, tourism and related services supervisors",2023,5,15,10,Nan,35
Alberta,6314 - Customer and information services supervisors,2023,0,0,0,Nan,Nan
Alberta,6315 - Cleaning supervisors,2023,15,25,15,10,70
Alberta,6321 - Chefs,2023,15,10,10,10,35
Alberta,6322 - Cooks,2023,70,60,65,70,250
Alberta,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2023,Nan,Nan,Nan,Nan,10
Alberta,6332 - Bakers,2023,10,5,5,5,25
Alberta,6512 - Bartenders,2023,0,Nan,0,Nan,]
Alberta,6513 - Food and beverage servers,2023,Nan,0,5,Nan,10
Alberta,6522 - Pursers and flight attendants,2023,Nan,Nan,Nan,Nan,Nan
Alberta,6525 - Hotel front desk clerks,2023,0,Nan,Nan,Nan,10
Alberta,6532 - Outdoor sport and recreational guides,2023,0,Nan,5,0,10
Alberta,0631 - Restaurant and food service managers,2024,20,15,15,Nan,55
Alberta,0632 - Accommodation service managers,2024,0,10,Nan,0,10
Alberta,6311 - Food service supervisors,2024,80,85,55,50,265
Alberta,6312 - Executive housekeepers,2024,Nan,0,0,Nan,Nan
Alberta,"6313 - Accommodation, travel, tourism and related services supervisors",2024,Nan,Nan,Nan,Nan,10
Alberta,6314 - Customer and information services supervisors,2024,Nan,Nan,0,0,Nan
Alberta,6315 - Cleaning supervisors,2024,10,10,10,5,40
Alberta,6321 - Chefs,2024,5,10,Nan,0,20
Alberta,6322 - Cooks,2024,70,75,75,50,250
Alberta,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2024,Nan,Nan,5,Nan,10
Alberta,6332 - Bakers,2024,5,10,10,Nan,25
Alberta,6512 - Bartenders,2024,Nan,0,Nan,Nan,Nan
Alberta,6513 - Food and beverage servers,2024,Nan,5,Nan,Nan,10
Alberta,6522 - Pursers and flight attendants,2024,Nan,Nan,Nan,Nan,Nan
Alberta,6525 - Hotel front desk clerks,2024,Nan,Nan,Nan,Nan,10
Alberta,6532 - Outdoor sport and recreational guides,2024,0,Nan,20,Nan,25
British Columbia,0631 - Restaurant and food service managers,2018,60,50,35,55,200
British Columbia,0632 - Accommodation service managers,2018,10,10,10,15,40
British Columbia,6311 - Food service supervisors,2018,25,25,15,25,95
British Columbia,6312 - Executive housekeepers,2018,0,0,0,0,0
British Columbia,"6313 - Accommodation, travel, tourism and related services supervisors",2018,10,15,15,5,45
British Columbia,6314 - Customer and information services supervisors,2018,Nan,Nan,Nan,Nan,10
British Columbia,6315 - Cleaning supervisors,2018,10,15,Nan,Nan,30
British Columbia,6321 - Chefs,2018,20,20,15,25,75
British Columbia,6322 - Cooks,2018,65,55,55,85,255
British Columbia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2018,0,0,0,Nan,Nan
British Columbia,6332 - Bakers,2018,15,10,Nan,5,35
British Columbia,6512 - Bartenders,2018,Nan,0,Nan,Nan,5
British Columbia,6513 - Food and beverage servers,2018,5,25,5,15,50
British Columbia,6522 - Pursers and flight attendants,2018,0,0,Nan,0,Nan
British Columbia,6525 - Hotel front desk clerks,2018,5,10,15,15,50
British Columbia,6532 - Outdoor sport and recreational guides,2018,Nan,5,0,Nan,10
British Columbia,0631 - Restaurant and food service managers,2019,55,70,70,65,260
British Columbia,0632 - Accommodation service managers,2019,15,10,15,10,50
British Columbia,6311 - Food service supervisors,2019,20,35,25,30,110
British Columbia,6312 - Executive housekeepers,2019,5,Nan,Nan,Nan,10
British Columbia,"6313 - Accommodation, travel, tourism and related services supervisors",2019,10,20,10,10,50
British Columbia,6314 - Customer and information services supervisors,2019,Nan,Nan,Nan,0,Nan
British Columbia,6315 - Cleaning supervisors,2019,15,15,10,Nan,45
British Columbia,6321 - Chefs,2019,15,25,20,20,80
British Columbia,6322 - Cooks,2019,80,90,55,105,320
British Columbia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2019,Nan,0,Nan,0,Nan
British Columbia,6332 - Bakers,2019,5,10,10,5,30
British Columbia,6512 - Bartenders,2019,Nan,Nan,Nan,Nan,10
British Columbia,6513 - Food and beverage servers,2019,10,20,10,15,55
British Columbia,6522 - Pursers and flight attendants,2019,0,0,0,0,0
British Columbia,6525 - Hotel front desk clerks,2019,10,10,15,10,45
British Columbia,6532 - Outdoor sport and recreational guides,2019,Nan,5,Nan,0,10
British Columbia,0631 - Restaurant and food service managers,2020,55,25,25,65,170
British Columbia,0632 - Accommodation service managers,2020,15,Nan,Nan,5,25
British Columbia,6311 - Food service supervisors,2020,30,10,30,25,90
British Columbia,6312 - Executive housekeepers,2020,Nan,0,0,Nan,Nan
British Columbia,"6313 - Accommodation, travel, tourism and related services supervisors",2020,5,5,5,Nan,15
British Columbia,6314 - Customer and information services supervisors,2020,0,0,0,0,0
British Columbia,6315 - Cleaning supervisors,2020,5,5,5,5,20
British Columbia,6321 - Chefs,2020,15,5,5,10,40
British Columbia,6322 - Cooks,2020,65,30,35,40,160
British Columbia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2020,0,0,Nan,0,Nan
British Columbia,6332 - Bakers,2020,5,Nan,Nan,Nan,15
British Columbia,6512 - Bartenders,2020,0,Nan,0,0,Nan
British Columbia,6513 - Food and beverage servers,2020,20,5,5,15,50
British Columbia,6522 - Pursers and flight attendants,2020,0,0,0,0,0
British Columbia,6525 - Hotel front desk clerks,2020,Nan,Nan,0,Nan,10
British Columbia,6532 - Outdoor sport and recreational guides,2020,Nan,0,Nan,0,Nan
British Columbia,0631 - Restaurant and food service managers,2021,45,25,25,35,130
British Columbia,0632 - Accommodation service managers,2021,10,Nan,5,10,30
British Columbia,6311 - Food service supervisors,2021,20,25,25,30,95
British Columbia,6312 - Executive housekeepers,2021,0,Nan,Nan,Nan,Nan
British Columbia,"6313 - Accommodation, travel, tourism and related services supervisors",2021,Nan,5,5,10,20
British Columbia,6314 - Customer and information services supervisors,2021,Nan,Nan,Nan,0,Nan
British Columbia,6315 - Cleaning supervisors,2021,10,10,15,15,45
British Columbia,6321 - Chefs,2021,20,15,15,15,65
British Columbia,6322 - Cooks,2021,55,30,30,35,145
British Columbia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2021,Nan,0,Nan,Nan,5
British Columbia,6332 - Bakers,2021,5,5,10,10,30
British Columbia,6512 - Bartenders,2021,Nan,0,0,Nan,Nan
British Columbia,6513 - Food and beverage servers,2021,10,Nan,5,5,25
British Columbia,6522 - Pursers and flight attendants,2021,0,0,0,0,0
British Columbia,6525 - Hotel front desk clerks,2021,Nan,Nan,Nan,Nan,10
British Columbia,6532 - Outdoor sport and recreational guides,2021,Nan,0,Nan,0,Nan
British Columbia,0631 - Restaurant and food service managers,2022,45,65,55,55,215
British Columbia,0632 - Accommodation service managers,2022,15,15,5,10,45
British Columbia,6311 - Food service supervisors,2022,15,40,30,25,110
British Columbia,6312 - Executive housekeepers,2022,Nan,Nan,Nan,Nan,5
British Columbia,"6313 - Accommodation, travel, tourism and related services supervisors",2022,5,10,10,5,30
British Columbia,6314 - Customer and information services supervisors,2022,0,Nan,Nan,0,Nan
British Columbia,6315 - Cleaning supervisors,2022,15,10,10,20,55
British Columbia,6321 - Chefs,2022,25,30,30,15,100
British Columbia,6322 - Cooks,2022,35,50,45,25,155
British Columbia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2022,0,0,0,Nan,Nan
British Columbia,6332 - Bakers,2022,5,Nan,10,5,30
British Columbia,6512 - Bartenders,2022,Nan,Nan,Nan,Nan,10
British Columbia,6513 - Food and beverage servers,2022,Nan,10,10,10,30
British Columbia,6522 - Pursers and flight attendants,2022,0,0,0,0,0
British Columbia,6525 - Hotel front desk clerks,2022,Nan,10,Nan,Nan,20
British Columbia,6532 - Outdoor sport and recreational guides,2022,Nan,0,Nan,Nan,Nan
British Columbia,0631 - Restaurant and food service managers,2023,50,45,40,35,170
British Columbia,0632 - Accommodation service managers,2023,10,15,10,5,40
British Columbia,6311 - Food service supervisors,2023,40,30,45,30,140
British Columbia,6312 - Executive housekeepers,2023,Nan,Nan,0,0,Nan
British Columbia,"6313 - Accommodation, travel, tourism and related services supervisors",2023,Nan,15,Nan,5,25
British Columbia,6314 - Customer and information services supervisors,2023,0,0,Nan,Nan,5
British Columbia,6315 - Cleaning supervisors,2023,10,10,15,15,45
British Columbia,6321 - Chefs,2023,20,30,30,30,105
British Columbia,6322 - Cooks,2023,35,45,55,50,185
British Columbia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2023,0,0,Nan,0,Nan
British Columbia,6332 - Bakers,2023,5,10,5,5,25
British Columbia,6512 - Bartenders,2023,Nan,0,Nan,10,10
British Columbia,6513 - Food and beverage servers,2023,Nan,10,5,Nan,25
British Columbia,6522 - Pursers and flight attendants,2023,0,0,0,0,0
British Columbia,6525 - Hotel front desk clerks,2023,5,10,5,10,30
British Columbia,6532 - Outdoor sport and recreational guides,2023,0,Nan,0,0,Nan
British Columbia,0631 - Restaurant and food service managers,2024,30,40,25,10,110
British Columbia,0632 - Accommodation service managers,2024,5,5,5,0,20
British Columbia,6311 - Food service supervisors,2024,40,25,25,10,90
British Columbia,6312 - Executive housekeepers,2024,0,Nan,Nan,0,Nan
British Columbia,"6313 - Accommodation, travel, tourism and related services supervisors",2024,5,10,5,Nan,30
British Columbia,6314 - Customer and information services supervisors,2024,Nan,0,Nan,0,Nan
British Columbia,6315 - Cleaning supervisors,2024,10,10,15,10,45
British Columbia,6321 - Chefs,2024,25,25,20,15,80
British Columbia,6322 - Cooks,2024,50,45,35,20,145
British Columbia,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2024,0,Nan,Nan,0,Nan
British Columbia,6332 - Bakers,2024,10,5,10,Nan,25
British Columbia,6512 - Bartenders,2024,Nan,Nan,Nan,0,5
British Columbia,6513 - Food and beverage servers,2024,5,10,5,Nan,25
British Columbia,6522 - Pursers and flight attendants,2024,0,0,0,0,0
British Columbia,6525 - Hotel front desk clerks,2024,10,5,Nan,Nan,20
British Columbia,6532 - Outdoor sport and recreational guides,2024,Nan,0,0,0,Nan
Yukon,0631 - Restaurant and food service managers,2018,Nan,0,Nan,Nan,Nan
Yukon,0632 - Accommodation service managers,2018,0,0,0,0,0
Yukon,6311 - Food service supervisors,2018,Nan,5,0,Nan,10
Yukon,6312 - Executive housekeepers,2018,0,0,0,0,0
Yukon,"6313 - Accommodation, travel, tourism and related services supervisors",2018,0,0,0,0,0
Yukon,6314 - Customer and information services supervisors,2018,Nan,Nan,Nan,Nan,Nan
Yukon,6315 - Cleaning supervisors,2018,0,0,0,0,0
Yukon,6321 - Chefs,2018,0,0,Nan,0,Nan
Yukon,6322 - Cooks,2018,Nan,0,0,Nan,Nan
Yukon,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2018,0,0,0,0,0
Yukon,6332 - Bakers,2018,0,0,Nan,0,Nan
Yukon,6512 - Bartenders,2018,0,0,0,0,0
Yukon,6513 - Food and beverage servers,2018,5,Nan,0,Nan,10
Yukon,6522 - Pursers and flight attendants,2018,Nan,Nan,Nan,Nan,Nan
Yukon,6525 - Hotel front desk clerks,2018,5,5,Nan,0,15
Yukon,6532 - Outdoor sport and recreational guides,2018,0,Nan,0,0,Nan
Yukon,0631 - Restaurant and food service managers,2019,0,0,Nan,0,Nan
Yukon,0632 - Accommodation service managers,2019,0,0,0,0,0
Yukon,6311 - Food service supervisors,2019,Nan,Nan,Nan,Nan,5
Yukon,6312 - Executive housekeepers,2019,0,Nan,0,0,Nan
Yukon,"6313 - Accommodation, travel, tourism and related services supervisors",2019,Nan,0,0,0,Nan
Yukon,6314 - Customer and information services supervisors,2019,Nan,Nan,Nan,Nan,Nan
Yukon,6315 - Cleaning supervisors,2019,Nan,1,Nan,1,Nan
Yukon,6321 - Chefs,2019,0,Nan,0,0,Nan
Yukon,6322 - Cooks,2019,0,Nan,0,Nan,Nan
Yukon,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2019,0,0,0,0,0
Yukon,6332 - Bakers,2019,Nan,0,Nan,0,Nan
Yukon,6512 - Bartenders,2019,0,0,0,0,0
Yukon,6513 - Food and beverage servers,2019,Nan,Nan,Nan,5,15
Yukon,6522 - Pursers and flight attendants,2019,Nan,Nan,Nan,Nan,Nan
Yukon,6525 - Hotel front desk clerks,2019,5,Nan,5,0,15
Yukon,6532 - Outdoor sport and recreational guides,2019,0,Nan,0,0,Nan
Yukon,0631 - Restaurant and food service managers,2020,0,Nan,0,0,Nan
Yukon,0632 - Accommodation service managers,2020,Nan,0,Nan,0,Nan
Yukon,6311 - Food service supervisors,2020,Nan,0,5,Nan,10
Yukon,6312 - Executive housekeepers,2020,0,0,0,Nan,Nan
Yukon,"6313 - Accommodation, travel, tourism and related services supervisors",2020,Nan,0,Nan,0,Nan
Yukon,6314 - Customer and information services supervisors,2020,Nan,Nan,Nan,Nan,Nan
Yukon,6315 - Cleaning supervisors,2020,0,0,0,0,0
Yukon,6321 - Chefs,2020,Nan,0,0,0,Nan
Yukon,6322 - Cooks,2020,0,Nan,Nan,Nan,Nan
Yukon,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2020,0,0,0,0,0
Yukon,6332 - Bakers,2020,0,0,0,Nan,Nan
Yukon,6512 - Bartenders,2020,0,0,Nan,0,Nan
Yukon,6513 - Food and beverage servers,2020,Nan,0,Nan,5,10
Yukon,6522 - Pursers and flight attendants,2020,Nan,Nan,Nan,Nan,Nan
Yukon,6525 - Hotel front desk clerks,2020,Nan,0,5,Nan,15
Yukon,6532 - Outdoor sport and recreational guides,2020,0,0,Nan,0,Nan
Yukon,0631 - Restaurant and food service managers,2021,0,Nan,0,0,Nan
Yukon,0632 - Accommodation service managers,2021,Nan,Nan,0,0,Nan
Yukon,6311 - Food service supervisors,2021,Nan,Nan,Nan,Nan,5
Yukon,6312 - Executive housekeepers,2021,0,0,0,0,0
Yukon,"6313 - Accommodation, travel, tourism and related services supervisors",2021,0,0,Nan,Nan,Nan
Yukon,6314 - Customer and information services supervisors,2021,Nan,Nan,Nan,Nan,Nan
Yukon,6315 - Cleaning supervisors,2021,0,0,Nan,0,Nan
Yukon,6321 - Chefs,2021,Nan,0,0,0,Nan
Yukon,6322 - Cooks,2021,0,Nan,Nan,0,5
Yukon,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2021,0,0,0,0,0
Yukon,6332 - Bakers,2021,0,0,0,0,0
Yukon,6512 - Bartenders,2021,0,0,0,Nan,Nan
Yukon,6513 - Food and beverage servers,2021,5,0,Nan,Nan,5
Yukon,6522 - Pursers and flight attendants,2021,Nan,Nan,Nan,Nan,Nan
Yukon,6525 - Hotel front desk clerks,2021,5,Nan,5,Nan,15
Yukon,6532 - Outdoor sport and recreational guides,2021,0,0,0,0,0
Yukon,0631 - Restaurant and food service managers,2022,0,Nan,Nan,0,Nan
Yukon,0632 - Accommodation service managers,2022,0,0,0,Nan,Nan
Yukon,6311 - Food service supervisors,2022,Nan,0,Nan,Nan,5
Yukon,6312 - Executive housekeepers,2022,0,0,0,Nan,Nan
Yukon,"6313 - Accommodation, travel, tourism and related services supervisors",2022,0,0,0,0,0
Yukon,6314 - Customer and information services supervisors,2022,Nan,Nan,Nan,Nan,Nan
Yukon,6315 - Cleaning supervisors,2022,0,Nan,Nan,Nan,Nan
Yukon,6321 - Chefs,2022,0,0,Nan,0,Nan
Yukon,6322 - Cooks,2022,0,Nan,Nan,Nan,5
Yukon,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2022,0,0,0,0,0
Yukon,6332 - Bakers,2022,0,0,0,0,0
Yukon,6512 - Bartenders,2022,0,0,0,Nan,Nan
Yukon,6513 - Food and beverage servers,2022,Nan,0,Nan,Nan,10
Yukon,6522 - Pursers and flight attendants,2022,Nan,Nan,Nan,Nan,Nan
Yukon,6525 - Hotel front desk clerks,2022,Nan,Nan,Nan,Nan,10
Yukon,6532 - Outdoor sport and recreational guides,2022,0,0,0,0,0
Yukon,0631 - Restaurant and food service managers,2023,0,Nan,Nan,0,Nan
Yukon,0632 - Accommodation service managers,2023,Nan,Nan,0,Nan,Nan
Yukon,6311 - Food service supervisors,2023,Nan,0,Nan,0,Nan
Yukon,6312 - Executive housekeepers,2023,0,0,0,0,0
Yukon,"6313 - Accommodation, travel, tourism and related services supervisors",2023,0,0,0,0,0
Yukon,6314 - Customer and information services supervisors,2023,Nan,Nan,Nan,Nan,Nan
Yukon,6315 - Cleaning supervisors,2023,0,0,0,0,0
Yukon,6321 - Chefs,2023,0,0,0,Nan,Nan
Yukon,6322 - Cooks,2023,Nan,Nan,5,0,10
Yukon,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2023,0,0,0,0,0
Yukon,6332 - Bakers,2023,0,Nan,0,0,Nan
Yukon,6512 - Bartenders,2023,0,0,0,0,0
Yukon,6513 - Food and beverage servers,2023,Nan,Nan,Nan,Nan,10
Yukon,6522 - Pursers and flight attendants,2023,Nan,Nan,Nan,Nan,Nan
Yukon,6525 - Hotel front desk clerks,2023,Nan,Nan,Nan,Nan,10
Yukon,6532 - Outdoor sport and recreational guides,2023,0,0,0,0,0
Yukon,0631 - Restaurant and food service managers,2024,0,Nan,0,0,Nan
Yukon,0632 - Accommodation service managers,2024,0,0,0,0,0
Yukon,6311 - Food service supervisors,2024,Nan,0,Nan,5,10
Yukon,6312 - Executive housekeepers,2024,0,0,0,0,0
Yukon,"6313 - Accommodation, travel, tourism and related services supervisors",2024,0,Nan,0,0,Nan
Yukon,6314 - Customer and information services supervisors,2024,Nan,Nan,Nan,Nan,Nan
Yukon,6315 - Cleaning supervisors,2024,0,0,0,0,0
Yukon,6321 - Chefs,2024,0,0,0,0,0
Yukon,6322 - Cooks,2024,Nan,Nan,0,0,Nan
Yukon,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2024,0,0,0,0,0
Yukon,6332 - Bakers,2024,0,Nan,0,0,Nan
Yukon,6512 - Bartenders,2024,0,0,0,0,0
Yukon,6513 - Food and beverage servers,2024,Nan,Nan,Nan,0,5
Yukon,6522 - Pursers and flight attendants,2024,Nan,Nan,Nan,Nan,Nan
Yukon,6525 - Hotel front desk clerks,2024,Nan,5,5,Nan,15
Yukon,6532 - Outdoor sport and recreational guides,2024,0,0,0,0,0
Northwest Territories,0631 - Restaurant and food service managers,2018,Nan,0,0,Nan,Nan
Northwest Territories,0632 - Accommodation service managers,2018,0,0,0,Nan,Nan
Northwest Territories,6311 - Food service supervisors,2018,Nan,0,0,5,10
Northwest Territories,6312 - Executive housekeepers,2018,Nan,Nan,Nan,Nan,Nan
Northwest Territories,"6313 - Accommodation, travel, tourism and related services supervisors",2018,Nan,0,0,0,Nan
Northwest Territories,6314 - Customer and information services supervisors,2018,0,0,0,0,0
Northwest Territories,6315 - Cleaning supervisors,2018,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6321 - Chefs,2018,0,0,Nan,0,Nan
Northwest Territories,6322 - Cooks,2018,0,Nan,Nan,0,Nan
Northwest Territories,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2018,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6332 - Bakers,2018,0,0,0,0,0
Northwest Territories,6512 - Bartenders,2018,0,0,0,0,0
Northwest Territories,6513 - Food and beverage servers,2018,0,0,0,0,0
Northwest Territories,6522 - Pursers and flight attendants,2018,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6525 - Hotel front desk clerks,2018,0,0,0,0,0
Northwest Territories,6532 - Outdoor sport and recreational guides,2018,0,0,0,0,0
Northwest Territories,0631 - Restaurant and food service managers,2019,0,0,Nan,0,Nan
Northwest Territories,0632 - Accommodation service managers,2019,0,0,Nan,0,Nan
Northwest Territories,6311 - Food service supervisors,2019,Nan,Nan,Nan,Nan,10
Northwest Territories,6312 - Executive housekeepers,2019,Nan,Nan,Nan,Nan,Nan
Northwest Territories,"6313 - Accommodation, travel, tourism and related services supervisors",2019,0,0,0,0,0
Northwest Territories,6314 - Customer and information services supervisors,2019,0,0,0,0,0
Northwest Territories,6315 - Cleaning supervisors,2019,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6321 - Chefs,2019,0,Nan,0,0,Nan
Northwest Territories,6322 - Cooks,2019,Nan,Nan,Nan,Nan,Nan
Northwest Territories,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2019,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6332 - Bakers,2019,Nan,Nan,0,0,Nan
Northwest Territories,6512 - Bartenders,2019,0,0,0,0,0
Northwest Territories,6513 - Food and beverage servers,2019,Nan,0,Nan,0,Nan
Northwest Territories,6522 - Pursers and flight attendants,2019,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6525 - Hotel front desk clerks,2019,0,0,Nan,0,Nan
Northwest Territories,6532 - Outdoor sport and recreational guides,2019,0,0,0,0,0
Northwest Territories,0631 - Restaurant and food service managers,2020,Nan,0,0,0,Nan
Northwest Territories,0632 - Accommodation service managers,2020,0,0,0,0,0
Northwest Territories,6311 - Food service supervisors,2020,Nan,0,Nan,Nan,10
Northwest Territories,6312 - Executive housekeepers,2020,Nan,Nan,Nan,Nan,Nan
Northwest Territories,"6313 - Accommodation, travel, tourism and related services supervisors",2020,0,0,0,0,0
Northwest Territories,6314 - Customer and information services supervisors,2020,0,0,0,0,0
Northwest Territories,6315 - Cleaning supervisors,2020,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6321 - Chefs,2020,Nan,Nan,0,0,Nan
Northwest Territories,6322 - Cooks,2020,0,Nan,0,Nan,Nan
Northwest Territories,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2020,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6332 - Bakers,2020,0,0,0,0,0
Northwest Territories,6512 - Bartenders,2020,0,0,0,0,0
Northwest Territories,6513 - Food and beverage servers,2020,0,0,0,0,0
Northwest Territories,6522 - Pursers and flight attendants,2020,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6525 - Hotel front desk clerks,2020,0,0,0,0,0
Northwest Territories,6532 - Outdoor sport and recreational guides,2020,0,0,0,0,0
Northwest Territories,0631 - Restaurant and food service managers,2021,Nan,0,0,0,Nan
Northwest Territories,0632 - Accommodation service managers,2021,0,0,0,Nan,Nan
Northwest Territories,6311 - Food service supervisors,2021,Nan,Nan,Nan,Nan,5
Northwest Territories,6312 - Executive housekeepers,2021,Nan,Nan,Nan,Nan,Nan
Northwest Territories,"6313 - Accommodation, travel, tourism and related services supervisors",2021,0,0,0,Nan,Nan
Northwest Territories,6314 - Customer and information services supervisors,2021,0,0,0,0,0
Northwest Territories,6315 - Cleaning supervisors,2021,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6321 - Chefs,2021,0,0,0,0,0
Northwest Territories,6322 - Cooks,2021,Nan,Nan,0,0,Nan
Northwest Territories,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2021,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6332 - Bakers,2021,Nan,0,0,0,Nan
Northwest Territories,6512 - Bartenders,2021,0,0,0,0,0
Northwest Territories,6513 - Food and beverage servers,2021,0,0,0,0,0
Northwest Territories,6522 - Pursers and flight attendants,2021,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6525 - Hotel front desk clerks,2021,0,0,0,0,0
Northwest Territories,6532 - Outdoor sport and recreational guides,2021,0,0,0,0,0
Northwest Territories,0631 - Restaurant and food service managers,2022,Nan,0,Nan,0,Nan
Northwest Territories,0632 - Accommodation service managers,2022,0,0,0,0,0
Northwest Territories,6311 - Food service supervisors,2022,Nan,Nan,Nan,0,5
Northwest Territories,6312 - Executive housekeepers,2022,Nan,Nan,Nan,Nan,Nan
Northwest Territories,"6313 - Accommodation, travel, tourism and related services supervisors",2022,Nan,0,0,0,Nan
Northwest Territories,6314 - Customer and information services supervisors,2022,0,0,0,0,0
Northwest Territories,6315 - Cleaning supervisors,2022,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6321 - Chefs,2022,Nan,Nan,Nan,0,Nan
Northwest Territories,6322 - Cooks,2022,Nan,Nan,0,Nan,Nan
Northwest Territories,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2022,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6332 - Bakers,2022,0,0,0,0,0
Northwest Territories,6512 - Bartenders,2022,0,0,0,0,0
Northwest Territories,6513 - Food and beverage servers,2022,0,0,0,0,0
Northwest Territories,6522 - Pursers and flight attendants,2022,Nan,Nan,Nan,Nan,Nan
Northwest Territories,6525 - Hotel front desk clerks,2022,0,0,0,Nan,Nan
Northwest Territories,6532 - Outdoor sport and recreational guides,2022,0,0,0,Nan,Nan
Northwest Territories,0631 - Restaurant and food service managers,2023,0,0,Nan,Nan,Nan
Northwest Territories,0632 - Accommodation service managers,2023,0,0,0,0,0
Northwest Territories,6311 - Food service supervisors,2023,0,0,0,Nan,Nan
Northwest Territories,6312 - Executive housekeepers,2023,Nan,Nan,Nan,Nan,Nan
Northwest Territories,"6313 - Accommodation, travel, tourism and related services supervisors",2023,0,0,0,0,0
